,scientific,common
507,N=Frog adenovirus 1 (strain ATCC VR-896),C=FrAdV-1
508,N=Adenostoma fasciculatum,C=Chamise
509,N=Frog adenovirus,C=FrAdV
510,N=Fowl adenovirus A serotype 1 (strain CELO / Phelps),C=FAdV-1
511,N=Avian adenovirus 8 (strain ATCC A-2A),C=FAdV-8
512,N=Adenia gummifera,C=Oloru
513,N=Fowl adenovirus C serotype 10 (strain SA2),C=FAdV-10
514,N=Adenocaulon himalaicum,C=Trailplant
515,N=Adenomera hylaedactyla,C=Napo tropical bullfrog
516,N=Adenophorus hymenophylloides,C=Filmy kihi fern
517,N=Adesmia lanata,unknown
518,N=Adelphocoris lineolatus,C=Alfalfa plant bug
519,N=Adelges laricis,C=Larch woolly aphid
520,N=Murine adenovirus A serotype 1,C=MAdV-1
521,N=Adenomera marmorata,C=Marbled tropical bullfrog
522,N=Adelomyia melanogenys,C=Speckled hummingbird
523,N=Ovine adenovirus D serotype 7 (isolate OAV287),C=OAdV-7
524,N=Adenium obesum,C=Desert rose
525,N=Ovine adenovirus D,C=OAdV-D
526,N=Adenanthos obovatus,C=Basket flower
527,N=Porcine adenovirus A serotype 3,C=PAdV-3
528,N=Porcine adenovirus B serotype 4,C=PAdV-4
529,N=Adenanthera pavonina,C=Sandal bead tree
530,N=Adelges piceae,C=Balsam woolly aphid
531,N=Adenophorus periens,C=Pendant kihi fern
532,N=Adenophorus pinnatifidus,C=Graceful kihi fern
533,N=Adelieledone polymorpha,C=Antarctic knobbed octopus
534,N=Snake adenovirus serotype 1,C=SnAdV-1
535,N=Simian adenovirus serotype 7,C=SAdV-7
536,N=Adenanthos sericeus,C=Woolly bush
537,N=Tree shrew adenovirus serotype 1,C=TSAdV-1
538,N=Adenophorus tripinnatifidus,C=Royal kihi fern
539,N=Adelges tsugae,C=Hemlock woolly adelgid
540,N=Adenandra uniflora,C=China flower
541,N=Adelges viridis,C=Green spruce gall aphid
542,N=Adenia volkensii,C=Kilyambiti plant
543,N=Adhemarius gannascus,C=Sphinx moth
544,N=Adisura bella,unknown
545,N=Adiantum capillus-veneris,C=Maidenhair fern
546,N=Adipicola crypta,C=Saltwater clam
547,N=Adineta gracilis,C=Rotifer
548,N=Adipicola iwaotakii,C=Saltwater clam
549,N=Adiantum malesianum,C=Maidenhair fern
550,N=Adiantum pedatum,C=Northern maidenhair fern
551,N=Adiantum raddianum,C=Maidenhair fern
552,N=Adineta ricciae,C=Rotifer
553,N=Adineta vaga,C=Rotifer
554,N=Adolphia californica,C=California prickbush
555,N=Adoxophyes honmai,C=Smaller tea tortrix moth
556,N=Adoxa moschatellina,C=Moschatel
557,N=Adoxophyes orana,C=Summer fruit tortrix moth
558,N=Adonis vernalis,C=Pheasant's eye
559,N=Aleutian mink disease parvovirus (strain G),C=ADV
560,N=Advenella kashmirensis (strain DSM 17095 / LMG 22695 / WT001),unknown
561,N=Advenella mimigardefordensis (strain DSM 17166 / LMG 22922 / DPN7),unknown
562,N=Aechmophorus clarkii,C=Clark's grebe
563,N=Aechmophorus occidentalis,C=Western grebe
564,N=Aedes aegypti,C=Yellowfever mosquito
565,N=Aedes albopictus,C=Asian tiger mosquito
566,N=Aedes cinereus,C=Small woodland mosquito
567,N=Aedes albopictus densovirus,C=AaPV
568,N=Aedes densonucleosis virus (strain GKV 002 002),unknown
569,N=Aedes fluviatilis,C=Mosquito
570,N=Aedes furcifer,C=Mosquito
571,N=Aedes japonicus,C=Asian rock pool mosquito
572,N=Aedes krombeini,C=Mosquito
573,N=Aedes luteocephalus,C=Mosquito
574,N=Aedes malayensis,C=Mosquito
575,N=Aedes novalbopictus,C=Mosquito
576,N=Aedes polynesiensis,C=Polynesian tiger mosquito
577,N=Aedes pseudoscutellaris,C=Mosquito
578,N=Aedes taylori,C=Mosquito
579,N=Aedes togoi,C=Mosquito
580,N=Aedes vexans,C=Inland floodwater mosquito
581,N=Aedes vittatus,C=Mosquito
582,N=Aedes w-albus,C=Mosquito
583,N=Aegolius acadicus,C=Northern saw-whet owl
584,N=Aegla alacalufi,C=Freshwater crab
585,N=Aegialia arenaria,C=Aegialian scarab beetle
586,N=Aegilops bicornis,C=Spach goatgrass
587,N=Aegithalos bonvaloti,C=Black-browed tit
588,N=Aegithalos caudatus,C=Long-tailed tit
589,N=Aegotheles cristatus,C=Australian owlet-nightjar
590,N=Aegilops comosa,C=Goatgrass
591,N=Aegithalos concinnus,C=Black-throated bushtit
592,N=Aegilops columnaris,C=Goatgrass
593,N=Aegilops crassa,C=Persian goatgrass
594,N=Aegilops cylindrica,C=Jointed goatgrass
595,N=Aegista diversifamilia,C=Snail
596,N=Aegithalos fuliginosus,C=Sooty tit
597,N=Aegolius funereus,C=Boreal owl
598,N=Aegithalos glaucogularis,C=Silver-throated tit
599,N=Aegolius harrisii,C=Buff-fronted owl
600,N=Aegotheles insignis,C=Feline owlet-nightjar
601,N=Aegilops longissima,C=Goatgrass
602,N=Aegle marmelos,C=Bael tree
603,N=Aegypius monachus,C=Cinereous vulture
604,N=Aegopodium podagraria,C=Ground elder
605,N=Aegyptianella pullorum,unknown
606,N=Aegotheles savesi,C=New Caledonian owlet-nightjar
607,N=Aegilops searsii,C=Sears' goatgrass
608,N=Aegilops speltoides,C=Goatgrass
609,N=Aegilops tauschii,C=Tausch's goatgrass
610,N=Aegithina tiphia,C=Common iora
611,N=Aegilops triuncialis,C=Barbed goatgrass
612,N=Aegilops tauschii subsp. strangulata,C=Goatgrass
613,N=Aegilops umbellulata,C=Goatgrass
614,N=Aegilops uniaristata,C=Goatgrass
615,N=Aegilops ventricosa,C=Goatgrass
616,N=Aelurostrongylus abstrusus,C=Cat lungworm
617,N=Aeluroscalabotes felinus,C=Cat gecko
618,N=Aenictus aratus,C=Black lesser army ant
619,N=Aenigmarchaeum subterraneum,unknown
620,N=Aeolothrips albicinctus,C=Thrips
621,N=Aeorestes cinereus,C=North American hoary bat
622,N=Aeolidia papillosa,C=Sea mouse
623,N=Aeoloplides turnbulli,C=Russian thistle grasshopper
624,N=Aepypodius arfakianus,C=Wattled brush turkey
625,N=Aepyceros melampus,C=Impala
626,N=Aepyprymnus rufescens,C=Rufous rat-kangaroo
627,N=Aequiyoldia eightsii,C=Antarctic yoldia
628,N=Aequipecten opercularis,C=Queen scallop
629,N=Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3),unknown
630,N=Aequidens tetramerus,C=Saddle cichlid
631,N=Aequorea victoria,C=Water jellyfish
632,N=Aeromonas caviae,unknown
633,N=Aeromonas enteropelogenes,unknown
634,N=Aeromicrobium erythreum (strain ATCC 51598 / DSM 8599 / JCM 8359 / NBRC 15406 / NRRL B-3381),unknown
635,N=Aeria eurimedia,C=Yellow-striped clearwing butterfly
636,N=Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),unknown
637,N=Aeromonas hydrophila,unknown
638,N=Aeromonas jandaei,unknown
639,N=Aeromonas media,unknown
640,N=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),unknown
641,N=Aeropyrum pernix,unknown
642,N=Aeranthes ramosa,C=Orchid
643,N=Aeromonas salmonicida (strain A449),unknown
644,N=Aeromonas salmonicida,unknown
645,N=Aeromonas sobria,unknown
646,N=Aeronautes saxatalis,C=White-throated swift
647,N=Aerococcus urinae (strain ACS-120-V-Col10a),unknown
648,N=Aeromonas veronii (strain B565),unknown
649,N=Aeromonas veronii,unknown
650,N=Aerococcus viridans (strain ATCC 11563 / DSM 20340 / CCUG 4311 / JCM 20461 / NBRC 12219 / NCTC 8251 / M1),unknown
651,N=Aerodramus vulcanorum,C=Volcano swiftlet
652,N=Aeshna cyanea,C=Southern hawker dragonfly
653,N=Aesculus hippocastanum,C=Horse chestnut
654,N=Aesculus pavia,C=Red buckeye
655,N=Aethalops alecto,C=Pygmy fruit bat
656,N=Aethionema cordifolium,C=Lebanon stonecress
657,N=Aethia cristatella,C=Crested auklet
658,N=Aethusa cynapium,C=Fool's parsley
659,N=Aetobatus flagellum,C=Longheaded eagle ray
660,N=Aethionema grandiflorum,C=Persian stone-cress
661,N=Aetobatus narinari,C=Spotted eagle ray
662,N=Aethionema oppositifolium,C=Opposite-leaf candytuft
663,N=Aethia psittacula,C=Parakeet auklet
664,N=Aethia pusilla,C=Least auklet
665,N=Aethia pygmaea,C=Whiskered auklet
666,N=Aethaloperca rogaa,C=Redmouth grouper
667,N=Aethionema saxatile,C=Candy mustard
668,N=Aethina tumida,C=Small hive beetle
669,N=Avian encephalomyelitis virus (strain Calnek vaccine),C=AEV
670,N=Avian encephalomyelitis virus (strain L2Z),C=AEV
671,N=Avian encephalomyelitis virus (strain Van Reokel),C=AEV
672,N=Afipia carboxidovorans (strain OM4),unknown
673,N=Afipia carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5),unknown
674,N=Afipia carboxidovorans,unknown
675,N=Afipia felis,C=Cat scratch disease bacillus
676,N=Afifella marina,C=Rhodobium marinum
677,N=Afropavo congensis,C=Congo peafowl
678,N=Afrohybanthus enneaspermus,C=Spade flower
679,N=Afrocarpus gracilior,C=African fern pine
680,N=Afrogethes planiusculus,C=Paterson's curse pollen beetle
681,N=Acidianus filamentous virus 1,C=AFV-1
682,N=Acidianus filamentous virus 1 (isolate United States/Yellowstone),C=AFV-1
683,N=Acidianus filamentous virus 2,C=AFV-2
684,N=Acidianus filamentous virus 2 (isolate Italy/Pozzuoli),C=AFV-2
685,N=Agaricia agaricites,C=Purple lettuce coral
686,N=Agama aculeata,C=Ground agama
687,N=Agave attenuata,C=Fox tail agave
688,N=Agapanthus africanus,C=Lily of the Nile
689,N=Agama agama,C=Red-headed rock agama
690,N=Agarivorans albus,unknown
691,N=Agave americana,C=Century plant
692,N=Agalychnis annae,C=Blue-sided leaf frog
693,N=Agama atra,C=Southern rock agama
694,N=Agathis australis,C=Kauri
695,N=Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389),C=White button mushroom
696,N=Agaricus benesii,C=Mushroom
697,N=Agaricus bisporus,C=White button mushroom
698,N=Agabus bipustulatus,C=Water beetle
699,N=Agave bracteosa,C=Squid agave
700,N=Agaricus bitorquis,C=Pavement mushroom
701,N=Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392),C=White button mushroom
702,N=Agaricus californicus,C=California agaricus
703,N=Agave celsii,C=Century plant
704,N=Agarophyton chilensis,C=Red alga
705,N=Agalychnis callidryas,C=Red-eyed tree frog
706,N=Agaricus campestris,C=Field mushroom
707,N=Agapornis canus,C=Grey-headed lovebird
708,N=Agallia constricta,C=Constricted leafhopper
709,N=Agapanthus campanulatus,C=African bluebell
710,N=Agarum clathratum,C=Shotgun kelp
711,N=Agathis dammara,C=Malayan kauri
712,N=Agalychnis dacnicolor,C=Giant Mexican leaf frog
713,N=Agapornis fischeri,C=Fischer's lovebird
714,N=Agastache foeniculum,C=Blue giant hyssop
715,N=Agaricia fragilis,C=Fragile saucer coral
716,N=Agave ghiesbreghtii,C=Green century plant
717,N=Agaricia humilis,C=Lowrelief saucer coral
718,N=Agama impalearis,C=Bibron's agama
719,N=Agalychnis lemur,C=Lemur leaf frog
720,N=Agaricus lilaceps,C=Giant cypress agaricus
721,N=Agapornis lilianae,C=Nyasa lovebird
722,N=Agastache mexicana,C=Mexican giant hyssop
723,N=Agaraea minuta,C=Moth
724,N=Agathis montana,C=Kauri pine
725,N=Agathis moorei,C=Moore kauri
726,N=Agapornis nigrigenis,C=Black-cheeked lovebird
727,N=Agastachys odorata,C=Fragrant waratah
728,N=Agave parviflora,C=Small-flowered century plant
729,N=Agaricus placomyces,C=Mushroom
730,N=Agapornis personatus,C=Yellow-collared lovebird
731,N=Agama planiceps,C=Namib rock agama
732,N=Agapanthus praecox,C=African blue lily
733,N=Agapornis pullarius,C=Red-headed lovebird
734,N=Agathis robusta,C=Queensland kauri pine
735,N=Agapornis roseicollis,C=Rosy-faced lovebird
736,N=Agastache rugosa,C=Korean mint
737,N=Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990),unknown
738,N=Agassizia scrobiculata,C=Sea urchin
739,N=Agalychnis spurrelli,C=Gliding leaf frog
740,N=Agaricus subrutilescens,C=Wine-colored agaricus
741,N=Agapornis taranta,C=Black-winged lovebird
742,N=Agave tequilana,C=Tequila agave
743,N=Agama tassiliensis,C=Agama lizard
744,N=Agaricus xanthodermus,C=Poison yellow meadow mushroom
745,N=American grass carp reovirus,C=AGCRV
746,N=Agelastica alni,C=Alder leaf beetle
747,N=Agelenopsis aperta,C=North American funnel-web spider
748,N=Ageratina altissima,C=White snakeroot
749,N=Agelaioides badius,C=Bay-winged cowbird
750,N=Agelas clathrodes,C=Orange elephant ear sponge
751,N=Ageratum conyzoides,C=Tropical whiteweed
752,N=Agelas conifera,C=Brown tube sponge
753,N=Agelasticus cyanopus,C=Unicolored blackbird
754,N=Agelas dispar,C=Marine sponge
755,N=Ageratum houstonianum,C=Bluemink
756,N=Agelaius humeralis,C=Tawny-shouldered blackbird
757,N=Agelena orientalis,C=Funnel-web spider
758,N=Agelaius phoeniceus,C=Red-winged blackbird
759,N=Agelaia pallipes pallipes,C=Neotropical social wasp
760,N=Agelas schmidtii,C=Brown tubular sponge
761,N=Agelasticus thilius,C=Yellow-winged blackbird
762,N=Agelaius tricolor,C=Tricolored blackbird
763,N=Agelaius xanthomus,C=Yellow-shouldered blackbird
764,N=Agelasticus xanthophthalmus,C=Pale-eyed blackbird
765,N=Aggregatibacter actinomycetemcomitans,C=Actinobacillus actinomycetemcomitans
766,N=Aggregatibacter actinomycetemcomitans serotype C (strain D11S-1),unknown
767,N=Aggregatibacter aphrophilus (strain NJ8700),unknown
768,N=Aggregatibacter aphrophilus,unknown
769,N=Agkistrodon bilineatus,C=Cantil
770,N=Agkistrodon contortrix laticinctus,C=Broad-banded copperhead
771,N=Agkistrodon contortrix contortrix,C=Southern copperhead
772,N=Agkistrodon piscivorus conanti,C=Florida cottonmouth
773,N=Agkistrodon piscivorus piscivorus,C=Eastern cottonmouth
774,N=Agkistrodon piscivorus leucostoma,C=Western cottonmouth
775,N=Aglaophamus australiensis,C=Marine catworm
776,N=Aglaeactis cupripennis,C=Shining sunbeam
777,N=Aglaiocercus kingii,C=Long-tailed sylph
778,N=Aglais milberti,C=Milbert's tortoiseshell butterfly
779,N=Aglaothamnion neglectum,C=Red alga
780,N=Aglaothamnion tripinnatum,C=Red alga
781,N=Aglais urticae,C=Small tortoiseshell butterfly
782,N=Agonis flexuosa,C=Australian willow myrtle
783,N=Agonum nigrum,C=Ground beetle
784,N=Agrostis alba,C=Bent grass
785,N=Agrostis capillaris,C=Colonial bentgrass
786,N=Agrius cingulata,C=Pink-spotted hawk moth
787,N=Agrius convolvuli,C=Convolvulus hawk-moth
788,N=Agropyron cristatum,C=Crested wheatgrass
789,N=Agrocybe cylindracea,C=Toadstool
790,N=Agriosphodrus dohrni,C=Japanese assassin-bug
791,N=Agrocybe erebia,C=Little brown mushroom
792,N=Agrobacterium fabrum (strain C58 / ATCC 33970),unknown
793,N=Agrobacterium fabacearum (strain H13-3),unknown
794,N=Agromyza frontella,C=Alfalfa blotch leafminer
795,N=Agrostemma githago,C=Common corn-cockle
796,N=Agrotis ipsilon,C=Black cutworm moth
797,N=Agriotes lineatus,C=Lined click beetle
798,N=Agromyces mediolanus,unknown
799,N=Agriornis micropterus,C=Grey-bellied shrike-tyrant
800,N=Agrimonia parviflora,C=Small-flowered agrimony
801,N=Agrilus planipennis,C=Emerald ash borer
802,N=Agriocnemis pygmaea,C=Pygmy wisp damselfly
803,N=Agrobacterium rhizogenes,unknown
804,N=Agrobacterium radiobacter (strain K84 / ATCC BAA-868),unknown
805,N=Agriphila ruricolella,C=Lesser vagabond sod webworm
806,N=Agromyces sp. (strain KY5R),unknown
807,N=Agrobacterium sp. (strain ATCC 21400),unknown
808,N=Agrobacterium sp. (strain CP4),unknown
809,N=Agrotis segetum,C=Turnip moth
810,N=Agrobacterium sp. (strain KNK712),unknown
811,N=Agrobacterium sp.,unknown
812,N=Agrostis stolonifera,C=Creeping bentgrass
813,N=Agrobacterium tumefaciens (strain Ach5),unknown
814,N=Agrobacterium tumefaciens (strain T37),unknown
815,N=Agrobacterium tumefaciens (strain 15955),unknown
816,N=Agrobacterium tumefaciens (strain apple 185),unknown
817,N=Agrobacterium tumefaciens (strain B2A),unknown
818,N=Agrobacterium tumefaciens (strain II Chrys),unknown
819,N=Agrobacterium tumefaciens (strain RS5),unknown
820,N=Agraulis vanillae,C=Gulf fritillary butterfly
821,N=Agrobacterium vitis,unknown
822,N=Agrobacterium vitis (strain S4 / ATCC BAA-846),unknown
823,N=Agylla argentifera,C=Moth
824,N=Agylla asra,C=Moth
825,N=Avon-Heathcote Estuary associated kieseladnavirus,C=AHEaBV
826,N=Avian hepatitis E virus (isolate Chicken/California/Meng),C=AHEV
827,N=Atlantic halibut nervous necrosis virus,C=AhNNV
828,N=African horse sickness virus 1,C=AHSV-1
829,N=African horse sickness virus 2,C=AHSV-2
830,N=African horse sickness virus 3,C=AHSV-3
831,N=African horse sickness virus 4,C=AHSV-4
832,N=African horse sickness virus 5,C=AHSV-5
833,N=African horse sickness virus 6,C=AHSV-6
834,N=African horse sickness virus 7,C=AHSV-7
835,N=African horse sickness virus 8,C=AHSV-8
836,N=African horse sickness virus 9,C=AHSV-9
837,N=Atkinsonella hypoxylon virus,C=AhV
838,N=Alcelaphine herpesvirus 1 (strain WC11),C=AlHV-1
839,N=Atkinsonella hypoxylon virus (isolate 2H),C=AhV
840,N=Aigialus parvus,C=Marine mangrove fungus
841,N=Ailanthus altissima,C=Tree-of-heaven
842,N=Ailurus fulgens,C=Lesser panda
843,N=Ailuropoda melanoleuca,C=Giant panda
844,N=Ailurops ursinus,C=Sulawesi bear cuscus
845,N=Aimophila ruficeps,C=Rufous-crowned sparrow
846,N=Aino virus,unknown
847,N=Aipysurus laevis,C=Olive sea snake
848,N=Aichi virus,C=AiV
849,N=Aichi virus (strain Human/A846/88/1989),C=AiV
850,N=Aix galericulata,C=Mandarin duck
851,N=Aix sponsa,C=Wood duck
852,N=Ajellomyces capsulatus (strain H88),C=Darling's disease fungus
853,N=Ajellomyces capsulatus,C=Darling's disease fungus
854,N=Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432),C=Darling's disease fungus
855,N=Ajellomyces capsulatus (strain H143),C=Darling's disease fungus
856,N=Ajellomyces capsulatus (strain NAm1 / WU24),C=Darling's disease fungus
857,N=Ajellomyces dermatitidis (strain ATCC 18188 / CBS 674.68),unknown
858,N=Ajellomyces dermatitidis,C=Blastomyces dermatitidis
859,N=Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586),unknown
860,N=Ajuga chamaepitys,C=Yellow bugle
861,N=Ajuga reptans,C=Bugle
862,N=Akania bidwillii,C=Turnipwood
863,N=Akanthomyces muscarius,C=Entomopathogenic fungus
864,N=Akebia quinata,C=Chocolate vine
865,N=Akkesiphycus lubricus,C=Brown alga
866,N=Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc),unknown
867,N=Akodon aerosus,C=Highland grass mouse
868,N=Akodon affinis,C=Colombian grass mouse
869,N=Akodon albiventer,C=White-bellied grass mouse
870,N=Akodon azarae,C=Azara's grass mouse
871,N=Akodon boliviensis,C=Bolivian grass mouse
872,N=Akodon budini,C=Budin's grass mouse
873,N=Akodon cursor,C=Cursor grass mouse
874,N=Akodon dayi,C=Day's grass mouse
875,N=Akodon dolores,C=Dolorous grass mouse
876,N=Akodon fumeus,C=Smoky grass mouse
877,N=Akodon iniscatus,C=Intelligent grass mouse
878,N=Akodon juninensis,C=Junin grass mouse
879,N=Akodon kofordi,C=Koford's grass mouse
880,N=Akodon lindberghi,C=Lindbergh's grass mouse
881,N=Akodon lutescens puer,C=Altiplano grass mouse
882,N=Akodon mimus,C=Thespian grass mouse
883,N=Akodon molinae,C=Molina's grass mouse
884,N=Akodon montensis,C=Montane grass mouse
885,N=Akodon mollis,C=Soft grass mouse
886,N=Akodon mystax,C=Caparao grass mouse
887,N=Akodon orophilus,C=El Dorado grass mouse
888,N=Akodon paranaensis,C=Parana grass mouse
889,N=Akodon philipmyersi,C=Myers' grass mouse
890,N=Akodon reigi,C=Reig's grass mouse
891,N=Akodon serrensis,C=Serrado Mar grass mouse
892,N=Akodon siberiae,C=Cochabamba grass mouse
893,N=Akodon spegazzinii,C=Spegazzini's grass mouse
894,N=Akodon subfuscus,C=Puno grass mouse
895,N=Akodon toba,C=Chaco grass mouse
896,N=Akodon torques,C=Cloud forest grass mouse
897,N=Alabama argillacea,C=Cotton leafworm
898,N=Alauda arvensis,C=Eurasian skylark
899,N=Alangium chinense,C=Chinese alangium
900,N=Alaria esculenta,C=Irish wakame
901,N=Alasmidonta heterodon,C=Dwarf wedge mussel
902,N=Alasmidonta marginata,C=Elktoe
903,N=Alaria marginata,C=Ribbon kelp
904,N=Albuca bracteata,C=False sea onion
905,N=Albinaria caerulea,C=Land snail
906,N=Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),unknown
907,N=Albizia julibrissin,C=Silk tree
908,N=Albizia kalkora,C=Kalkora mimosa
909,N=Albuca setosa,C=Small white albuca
910,N=Albinaria turrita,C=Door snail
911,N=Albifimbria verrucaria,C=Myrothecium leaf spot and pod blight fungus
912,N=Alces alces alces,C=European moose
913,N=Alces alces cameloides,C=Ussuri moose
914,N=Alcithoe aillaudorum,C=Sea snail
915,N=Alcedo atthis,C=Common kingfisher
916,N=Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2),unknown
917,N=Alcelaphus buselaphus,C=Hartebeest
918,N=Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / MCCC 1A00001 / B-5),unknown
919,N=Alcaligenes faecalis,unknown
920,N=Alcaligenes hydrogenophilus,unknown
921,N=Alcelaphus lichtensteinii,C=Lichtenstein's hartebeest
922,N=Alcaligenes sp. (strain CT14),unknown
923,N=Alcaligenes sp. (strain DSM 11172),unknown
924,N=Alcaligenes sp.,unknown
925,N=Alca torda,C=Razorbill
926,N=Alcithoe wilsonae,C=Sea snail
927,N=Alcaligenes xylosoxydans xylosoxydans,unknown
928,N=Aldrichetta forsteri,C=Yellow-eye mullet
929,N=Aldabrachelys gigantea,C=Aldabra giant tortoise
930,N=Alderia modesta,C=Sea slug
931,N=Alderia willowi,C=Sea slug
932,N=Alder yellows phytoplasma,unknown
933,N=Aleurochiton aceris,C=Whitefly
934,N=Alectrias alectrolophus,C=Stone cockscomb
935,N=Alepocephalus agassizii,C=Agassiz' slickhead
